web-scraper-order,web-scraper-start-url,Event,Event-href,Title,Date and Time,Location,Description,Organizer_link,Organizer_link-href
"1681240232-170","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","Bit By Bit NYC: Breaking the Barriers for Girls In TechBit By Bit NYC: Breaking the Barriers for Girls In Tech","https://www.eventbrite.com/e/bit-by-bit-nyc-breaking-the-barriers-for-girls-in-tech-tickets-559737157907?aff=ebdssbdestsearch","Bit By Bit NYC: Breaking the Barriers for Girls In Tech","Saturday, April 29 · 8:30am - 3:30pm EDT","The Dalton School 108 East 89th Street New York, NY 10128","About this event7 hoursMobile eTicketV﻿isit bitbybitnyc.org for more info! Feel free to email bitbybitnyc@gmail.com with questions or information!Frequently asked questionsWho is Bit by Bit for?How much does Bit by Bit cost?How can I get involved?What if I am busy during the day of the conference?Do I need tech experience to attend Bit by Bit?Where can I find more information about Bit by Bit?","Bit By Bit NYC","https://www.eventbrite.com/o/bit-by-bit-nyc-12095851383"
"1681240236-171","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","VIP Yacht Party CruiseVIP Yacht Party Cruise","https://www.eventbrite.com/e/vip-yacht-party-cruise-tickets-142277171851?aff=ebdssbdestsearch","VIP Yacht Party Cruise","null","Skyport Marina 2430 FDR Drive East Service Road New York, NY 10010","About this eventJoin us on NYC's #1 yacht party cruise for a fun & safe sail by the Statue of Liberty, Brooklyn Bridge, Freedom Tower, etc. on a 100 ft, 2-deck private yacht with a live DJ! Enjoy lots of open air space along with both outdoor and indoor areas for all to be comfortable.Cruise through the city and take in the sights, with a panoramic view of the NYC skyline, while enjoying music and drinks for the night. Grab your friends or come alone and get ready to enjoy an experience you won't forget!• Features two climate controlled decks, custom LED lighting, state-of-the-art sound system & HDTVs, dance floors and Exterior Sky Deck!•  Live DJ Plays The Best Party Music • Scenic 3-hour cruise of the NYC harbor; Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more•   All Ages (21 & Over) Are Welcome To Attend.•  About 75% Come Alone So Don't Worry If You're Coming By Yourself• 2 Fully Stocked Bars With  Amazing Cocktails• The boat will sail rain or shine! The boat has two levels. Both levels have climate controlled areas - indoor & outdoor• Great for birthdays /parties/ bachelorette / bachelor / anniversaries / graduations & more (Balloons & Cakes permitted) • For more info on group packages, email - loumeetup@gmail.comGroup packages include:Reserved Section for your partyPersonalized Flyer to send to your guestsBalloons & Cakes permittedBottle Service availableDiscounted Tickets  • Parking garage next to marina. You can also look for free Street Parking  •  No specific dress code but we suggest Trendy/Neat Casual* P.S. Cruise ticket prices increase as dates get closer/space becomes limited so get tickets now and save $$ . Tickets are non-refundable.","NYC Social Group","https://www.eventbrite.com/o/nyc-social-group-31639983301"
"1681240239-172","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","#ProductCon New York: The Product Management Conference#ProductCon New York: The Product Management Conference","https://www.eventbrite.com/e/productcon-new-york-the-product-management-conference-tickets-419723663777?aff=ebdssbdestsearch","#ProductCon New York: The Product Management Conference","Wednesday, May 31 · 9am - 5pm EDT","Metropolitan Pavilion 125 W 18th St New York City, NY 10011","About this event8 hoursMobile eTicketYou can attend ProductCon New York in person or join live online from anywhere - just select the best ticket option for you.Organized by Product School and structured around the hottest topics in Product Management, ProductCon takes place four times per year in San Francisco, New York, London, and Online, and gathers over 15,000 product professionals from all over the world.ProductCon highlights Product Leaders from diverse backgrounds and leaders of color. You’ll learn from inspirational Heads of Product, VPs, and CPOs from tech giants such as Amazon, Meta, Disney, and more.You’ll learn best practices behind the most successful products, and have the opportunity to interact with all our sponsor companies interested in recruiting PMs. Get ready to level up your product management skills, network with a global community of fellow product leaders, and have a ball!Check out our latest conference.FAQWhat is #ProductCon?ProductCon is a conference by Product School where attendees can delve into the future of Product Management. It will feature a mix of keynotes, breakout sessions, and panel discussions, all with the aim to provide actionable insights around how to build products users love.Why should I attend?Whether you’re a startup or a Fortune 500, an individual contributor or leading a team, what you learn during ProductCon will transform the way you go about building products. You’ll come away with concrete ideas you can apply in your company right away, along with fresh contacts that may become customers or partners in the future.Who is attending?Attendees of ProductCon are Senior Product leaders; Sr. Product Manager, Director of Product, Head of Product Management, VP of Product, Chief Product Officer.What does my on-site ProductCon ticket include?It includes access to the conference and refreshments. You’ll also get access to our official parties, some way cool swag, and all the recordings and slides.I want to send my team. Are there group discounts?Yes, we offer a Group Discount with 5 tickets for the price of 3! If you are more than 5 attendees from the same company, please get in touch with us to request a unique group discount.Do you provide any discounts for students, non-profits, startups, etc?Yes, we provide a limited amount of early-bird tickets. We also provide free tickets to watch the conference live online and receive all the recordings and slides afterward.Can you advise me on how to convince my boss that ProductCon is worth the investment?Yes, you can download our convince your boss Google Doc template. How can I contact the organizer with any questions?Get in touchI'm international and need to order a visa in order to come to ProductCon. Can you help with this?Yes, we can write you a letter of recommendation for you to apply for a visa. Get in touch with your name, business address, and ticket order number. Please check with your local government office for any visas waiting periods. If for some reason you cannot obtain a visa, we will refund your ticket.Will ProductCon be recorded?Yes, it will be recorded by our multimedia team and the videos edited for your viewing pleasure. Make sure to get your free online ticket in order to receive all the recordings and slides.How do I become a Sponsor?Get in touch with us hereAre there volunteer opportunities for this event?Yes! Apply here.What's the cancellation/refund policy?We don’t offer refunds but you can transfer the ticket to a colleague or friend. Any ticket transfers must be made at least 48 hours before the event starts.","Product School","https://www.eventbrite.com/o/product-school-15742648512"
"1681240242-173","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","Optimizing for What? Algorithmic Amplification and SocietyOptimizing for What? Algorithmic Amplification and Society","https://www.eventbrite.com/e/optimizing-for-what-algorithmic-amplification-and-society-tickets-558764247907?aff=ebdssbdestsearch","Optimizing for What? Algorithmic Amplification and Society","April 28 · 9am - April 29 · 1:20pm EDT","Columbia University 2920 Broadway New York, NY 10027","About this event1 day 4 hoursMobile eTicketOn April 28-29, 2023, the Knight Institute will host a symposium to explore how online amplification works and to consider interventions that would mitigate some of the harms caused by amplification, or allow us to take fuller advantage of the benefits. The symposium, “Optimizing for What? Algorithmic Amplification and Society,” is a collaboration between the Knight Institute and  Arvind Narayanan. It will take place in-person at Columbia University and online.﻿A﻿pril 28th: 9:00 am - 5:00 pm Alfred Lerner Hall, Columbia University Roone Arledge Cinema2920 Broadway New York, NY 10027A﻿pril 29th: 9:30 am - 1:20pmF﻿aculty House, Columbia UniversityP﻿residential Room 26﻿4 Morningside DrNew York, NY 10027Opening Remarks Jameel Jaffer, Knight First Amendment InstituteK﻿eynoteAlondra Nelson, Institute for Advanced StudyF﻿eaturingFabian Baumann, Max Planck Institute for Human Development Luca Belli, University of California, BerkeleyGeorgina Born, University College LondonWilliam J. Brady, Northwestern UniversityJason Burton, Max Planck Institute for Human DevelopmentAnnie Dorsen, Independent ArtistKevin Feng, University of WashingtonTarleton Gillespie, Microsoft Research New EnglandRavi Iyer, Psychology of Technology InstituteBenjamin Kaiser, Princeton UniversityDaphne Keller, Stanford UniversityAngela Lai, New York UniversityBenjamin Laufer, Cornell TechSeth Lazar, Australian National UniversityKristian Lum, University of ChicagoSmitha Milli, Cornell TechAlessandro Piscopo, BBC Product GroupInioluwa Deborah Raji, University of California, Berkeley Yoel Roth, University of California, BerkeleyT﻿o review the symposium agenda, visit the Knight Institute website here.Agenda9:00 AM - 5:00 PM Day 1: 4/28Location: Alfred Lerner Hall, Roone Arledge Cinema9:30 AM - 1:20 PM Day 2: 4/29Location: Faculty House, Presidential Room 2","Knight First Amendment Institute at Columbia University","https://www.eventbrite.com/o/knight-first-amendment-institute-at-columbia-university-13213211534"
"1681240246-174","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","ClimateSTEM Series Culminating Event! Share Successes & Learn from Others!ClimateSTEM Series Culminating Event! Share Successes & Learn from Others!","https://www.eventbrite.com/e/climatestem-series-culminating-event-share-successes-learn-from-others-tickets-559770076367?aff=ebdssbdestsearch","ClimateSTEM Series Culminating Event! Share Successes & Learn from Others!","Sunday, June 4 · 2 - 4:30pm EDT","STEMteachersNYC Via Zoom New York, NY 10027","About this event2 hours 30 minutesMobile eTicketLeaders:  Facilitators from all workshops in our 2022-2023 ClimateSTEM Series and alumni!Date: June 4, 2:00-4:30pm ET. (Subject to change; please RSVP to be notified!)All events and workshops offered in our K12 ClimateSTEM Series have been made possible by ConEd.Please join us for an afternoon of cross-curricular cross pollenation around climate change lessons, units and teaching tools! Over the course of the fall and spring semesters STEMteachersNYC has offered a series of 16 workshops focused on Climate Change. On May 6 we will be inviting all faciliators and their alumni to return and share what they have tried and to tell stories of how students responded. This event is open to all! List of workshops offered in our 2022-2023 ClimateSTEM Series (more details of each workshop can be found here):A Bird Walk in Central Park: Come enjoy the fall migration! (ES/MS/HS)Eco-Social Assessment Mapping of Parks w/Urban Field Station!Visualizing Student Eco-Systems Thinking with SageModeler (ES/MS)Climate Physics Modeling (HS)Earth's Energy Budget Using My NASA Data Products (HS)(Postponed)Climate Models & Data Part 1 - Visualizing Climate Projections (HS)Climate Models & Data Part 2 - Using En-ROADS for Climate Solutions (HS)Introduction to Student-Centered Environmental Science (HS)How Our Food Moves Water Around the Planet (MS/HS)Decarbonize New York City with the game of Energetic! (HS)  Ecology Disrupted: Connecting Daily Life to Environmental Issues ALLTeaching Hudson River Data - Take Classroom Research Outside! (ES/MS)Prep For Earth Week! Start Moving Towards Sustainability!Sound Across the Curriculum - Project Based STEAM (3 Part Workshop)A Bird Walk in Central Park: Come enjoy the spring migration! (ALL)This event is open to all! You do not need to have attended a past workshop to join us. Detailed agenda forthcoming!Cost:  $10 (Ticket sales will support sharing of outcomes and planning for future ClimateSTEM workshops! Thank you!)STEMteachersNYC delivers professional development workshops for teachers, by teachers, about teaching, since 2011. CUNY Pre-service teachers may attend for free. Please reach out if your school requires an invoice. We are an NYCDOE MTAC Vendor.Current CUNY students with valid ID may attend workshops at a discount or for FREE! Please email preservice@stemteachersnyc.org for details.Email general questions to Registration@STEMteachersNYC.org. Note this workshop requires a minimum number of participants. In the event there are not enough participants, the workshop will be cancelled, and a refund will be issued. Interested in an Invoice/Purchase Order Request?Teachers! Ask your school to pay for your ticket! All the school needs to do is send us a Purchase Order (PO). Fill out our PO/Invoice survey and we will prepare you an invoice for you to submit to your school/district. Or just copy and paste the information above and let them know the workshop you want to attend. Don't be afraid to ask. There's always a chance the money will be available and they'll say yes, but if you don't ask, there's no chance at all.Districts/Schools, to request an invoice for a STEMteachersNYC Workshop, please fill out a quick invoice survey. This is a required step in order to process your request. Any questions regarding the PO process please contact bookkeeper@stemteachersnyc.orgPlease send Purchase Orders (POs) to our Billing OfficeVia Email: bookkeeper@stemteachersnyc.orgOR Via US Mail: STEMteachersNYC - Billing Office 245 West 107th Street, Suite 10B New York, NY 10025.Please read the FAQs section below carefully before registering.FAQsIs STEMteachersNYC an approved NYC DOE CTLE Vendor?Yes. STEMteachersNYC is a Continuing Teacher and Leader Education (CTLE) vendor for the New York City Department of Education (#STE-068881). New York State Teachers will receive a CTLE certificate at the end of the workshop.  (CTLE ID # 23385)How can I contact the organizer with any questions?Questions about registration or tickets should be addressed to registration@STEMteachersNYC.org.Questions about invoice/PO issues should be addressed to bookkeeper@STEMteachersNYC.orgQuestions about our programs should be addressed to info@STEMteachersNYC.org Is the full workshop fee or the balance of the workshop fee refundable? Refunds for the balance of the full workshop fee (that is, the full fee minus the reservation fee) must be requested within one (1) week of payment and at least four (4) weeks before the start of the workshop. All such requests must be accompanied by an acceptable, documented explanation. Judgments about acceptability of explanations and documentation, and about whether or not a refund will be issued are at the sole discretion of STEMteachersNYC and are final. Refunds will not include fees charged on the initial payment by Eventbrite, credit cards, and/or banks.Is my reservation/ticket transferrable?If your school or organization has made the ticket purchase for you, your credit may be transferable to a school or organization colleague. Authorization from our team will be required. Please contact the STEMteachersNYC Registrar (Registration@STEMteachersNYC.org) if you need to transfer your reservation to a different person/name, or if you wish to transfer your reservation to a different workshop. Can I update my reservation information?Yes, you can update your reservation information. The name on the reservation/ticket doesn't match the attendee. Is that okay?No, please contact the STEMteachersNYC Registrar (Registration@STEMteachersNYC.org) to address this. Can I receive college level credits?In-service teachers will receive CTLE hours.Pre-service teachers whose college is participating in our ""field-site hours"" program will recieve field site hours or credit depending on that institution's partnership agreement. Please make sure to include your faculty advisor or course professor's name and contact when registering. For more information about either of these, please contact info@stemteachersnyc.org. Where can I find more information about STEMteachersNYC? Visit our website: http://STEMTeachersNYC.org or email info@stemteachersnyc.org How can I join STEMteachersNYC?Click here - it's free! http://stemteachersnyc.org/join/Members find out about workshops first and can sign up before others.Please note: We take screenshots, photographs and record video of our workshops in order to publicize a positive image of science teaching, and of STEMteachersNYC - a recognized 501(c)(3) non-profit organization - and to support future teacher leaders. If you register, you are agreeing to be photographed and to have your voice and image video-recorded. You are also agreeing to relinquish all your rights to the photographs and video recordings.If you do not wish to be photographed or video-recorded - you must inform us before the workshop starts. For in-person workshops, we will take one photograph of your face so that we can erase your image if we happen to catch it by chance during the workshop, and we will do our best to avoid you. We would also appreciate your cooperation in positioning yourself at the edge of the group so as to help us avoid you.","STEMteachersNYC","https://www.eventbrite.com/o/stemteachersnyc-3148482172"
"1681240249-175","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","EARTH DAY: S.T.E.A.M. DREAMEARTH DAY: S.T.E.A.M. DREAM","https://www.eventbrite.com/e/earth-day-steam-dream-tickets-481740648247?aff=ebdssbdestsearch","EARTH DAY: S.T.E.A.M. DREAM","Saturday, April 22 · 11am - 12:30pm EDT","Rockefeller Park Basketball Court River Terrace & Murray Street New York, NY 10280","About this event1 hour 30 minutesMobile eTicketKids are invited to pick up S.T.E.A.M (Science, Technology, Engineering, Arts and Mathematics) at this special Earth Day themed open air fair featuring engaging activities and a live performance from Mad Science.","Battery Park City Authority","https://www.eventbrite.com/o/battery-park-city-authority-18249326283"
"1681240252-176","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","EARTH LOVE FEST: Block Party **Free All Day!**EARTH LOVE FEST: Block Party **Free All Day!**","https://www.eventbrite.com/e/earth-love-fest-block-party-free-all-day-tickets-541260222897?aff=ebdssbdestsearch","EARTH LOVE FEST: Block Party **Free All Day!**","Starts on Sunday, April 23 · 12pm EDT","House of Yes 2 Wyckoff Avenue Brooklyn, NY 11237","About this event6 hoursMobile eTicketJoin us for EARTH LOVE FEST, our 5th annual celebration of  daytime dance party magic, sustainability workshops and inspiration for eco-action! FREE ALL DAY! ALL AGES WELCOME!INDOOR & OUTDOOR CELEBRATIONS	EARTH LOVE FEST brings together creators, artists, performers, speakers, climate experts, ocean conservationists, sustainable designers and more to share knowledge, open hearts and inspire action to save our environment. Green your life. Move to the grooves for sustainability. Get inspired & fall in love with our planet all over again. ⫸ EXPERIENCESOPEN AIR DANCE PARTYART MARKET INTERACTIVE INSTALLATIONSECO BAZAARFRESH DRINKS ALL DAY TALKS & PANELS YOGA & MOVEMENTLIVE PERFORMANCESECO BEAUTY BAR WELLNESS WORKSHOPS+ MORE ⫸ GET INVOLVED!We are seeking vendors, artists, speakers and creators to get involved. Please fill out this FORM to submit your work and get in the mix. ⫸ MUSIC S﻿oul Summit MusicSoul Summit Music is a DJ collective known for its soulful house music events which takes place in Fort Greene Park, Brooklyn on Sunday afternoons, throughout the summer. Over the past thirteen years Soul Summit has become an institution developing a loyal following of old-school house heads, fun-loving families, and a new generation of music-lovers. They know how to guide the crowd through a musical journey switching from classic and deep house to hip-hop, funk, and afrobeat before taking you to the soulful peak! ⫸  PARTNERSOceanic Global reminds us of humanity’s original role in earth’s broader ecosystems and guides us in restoring equilibrium to our blue planet. Our core pillars of focus are designed to deepen humanity’s connection to the ocean as the lifeblood of the earth, provide tangible solutions for resilience, and create a blueprint for coexisting in harmony with our natural world.⫸ AFTER PARTYAs day turns into night,  join us for the EARTH LOVE AFTER PARTY (21+)⫸ GET ON THE LIST Subscribe to the House of Yes newsletter for first access to tickets and special invites: www.houseofyes.org/yesemails ··········································································································◆SAFER SPACES POLICY◆House of Yes is a space for everyone to feel welcome. We have a zero tolerance policy for harassment, unwanted touch, and discrimination. Always ASK before touching anyone at our events. If someone is making you uncomfortable, speak to a security guard or ask for a manager. We will believe you, and we will help. All restrooms in our venue are gender neutral. The entrance to the venue is ADA accessible. Strobe lights are used during performances and parties. Find out more at houseofyes.org/SAFER◆INFO & FAQ◆ ALL AGES WELCOME! | More questions? Check out: houseofyes.org/FAQ","House of Yes!","https://www.eventbrite.com/o/house-of-yes-8534581785"
"1681240255-177","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","AeroFarms FlavorSpectrum™ Sensory Tasting + Marketing DiscussionAeroFarms FlavorSpectrum™ Sensory Tasting + Marketing Discussion","https://www.eventbrite.com/e/aerofarms-flavorspectrumtm-sensory-tasting-marketing-discussion-tickets-590414725337?aff=ebdssbdestsearch","AeroFarms FlavorSpectrum™ Sensory Tasting + Marketing Discussion","Friday, May 12 · 12 - 1pm EDT","AeroFarms 212 Rome Street Newark, NJ 07105","About this event1 hourMobile eTicketAbout the eventJoin AMA New Jersey at AeroFarms, the award-winning indoor vertical farm in Newark, NJ. You'll spend time exploring their FlavorSpectrum™ philosophy, and enjoy a greens tasting and light bites. And there's another treat—a marketing discussion on the future of the industry, AeroFarms' efforts to transform agriculture, and the branding behind this unique business on a self-described mission to ""grow the best plants possible for the betterment of humanity.""Registration proceeds from this event will benefit Table to Table, a NJ-based nonprofit that ""rescues"" food from supermarkets, restaurants, commercial kitchens, etc., and delivers it for free to more than 250 community organizations. Food pantries, food banks, shelters and other groups fighting food insecurity  and food waste are assisted by Table to Table.ABOUT AEROFARMSAeroFarms is a purpose-driven company, on a mission to grow the best plants possible for the betterment of humanity. AeroFarms has been leading the way to elevate agriculture for people and the planet, helping address climate change by enabling local food production using no pesticides ever to grow safe, nutritious, and delicious food all year round. AeroFarms is both a change-the-world technology company and an award-winning brand that is reimagining the way food is grown and celebrating its full FlavorSpectrum™ of flavorful possibilities.ABOUT THE AEROFARMS FLAVORSPECTRUM™AeroFarms FlavorSpectrum™ was designed to represent the breadth of flavors and varieties grown inside our indoor vertical farms. They paired each color with a specific tasting note to bring our FlavorSpectrum™ philosophy to life. Across the leafy greens packaging line, you'll find that the cool blue colors represent the sweet and mellow notes, while the intense reds represent bold and zesty flavors. AeroFarms invites you to take our FlavorSpectrum™ journey and taste the difference.A﻿BOUT TABLE TO TABLETable to Table is New Jersey’s first food rescue organization. Committed to feeding our hungry neighbors in northern NJ, Table to Table rescues and delivers healthy, fresh and perishable food from grocery stores, food distributors and restaurants, and in doing so, nourishes the community while helping our environment._____________________________________________Limited registration for this event closes Wednesday, May 3. Secure your seat now!Parking:  Plentiful, free, onsite.Frequently asked questionsIs there parking?","American Marketing Association of New Jersey","https://www.eventbrite.com/o/american-marketing-association-of-new-jersey-996510081"
"1681240258-178","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","Play Energetic: A Cooperative Climate Board GamePlay Energetic: A Cooperative Climate Board Game","https://www.eventbrite.com/e/play-energetic-a-cooperative-climate-board-game-tickets-610385989927?aff=ebdssbdestsearch","Play Energetic: A Cooperative Climate Board Game","Sunday, April 16 · 2 - 3pm EDT","Union Square Union Square North Plaza E. 17th St and Park Ave New York, NY 10003","About this event1 hourMobile eTicketThis workshop will be led by the City Atlas team, creators of the educational board game Energetic, a cooperative, interactive game focused on building an understanding of how to bring carbon-neutral energy to NYC. The game is suited for players 11 years and older, can be played at home, or in the classroom as an instructional tool. Energetic is currently used in 12 public high schools in New York City and City Atlas is working to make it available to all high schools. newyork.thecityatlas.org/energetic","March for Science NYC","https://www.eventbrite.com/o/march-for-science-nyc-31931880377"
"1681240262-179","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","‘FIRE OF LOVE’ — MEET THE DIRECTOR‘FIRE OF LOVE’ — MEET THE DIRECTOR","https://www.eventbrite.com/e/fire-of-love-meet-the-director-registration-569920265857?aff=ebdssbdestsearch","‘FIRE OF LOVE’ — MEET THE DIRECTOR","Friday, April 14 · 6 - 8pm EDT","Simons Foundation Gerald D. Fischbach Auditorium 160 5th Avenue New York, NY 10010","About this event2 hoursMobile eTicketSandbox Films’ “Fire of Love” tells the story of renowned volcanologists Maurice and Katia Krafft. The couple forever changed the field of volcanology through their dedicated research and up-close documentation of volcanic eruptions all over the world.  The visually stunning film, which recently received an Oscar nomination for Best Documentary Feature Film, masterfully interlaces footage from their adventures and beautifully captures the couples’ love for volcanoes and each other.  Join director Sara Dosa as she sits down with Jessica Harrop, head of production and development at Sandbox Films, for a conversation about her creative process and her inspiration to make this incredible tribute to the Kraffts, their love for volcanoes and the impact of their research.Those who want to watch “Fire of Love” before the conversation can find it on Hulu and Disney+.ABOUT THE SPEAKERS:Dosa is an Academy Award, BAFTA and Indie Spirit Award-nominated documentary director and Peabody award-winning producer whose film work focuses on the human relationship with non-human nature. Her work has been shown at festivals worldwide, including Sundance, SXSW, New Directors/New Films, CPH:DOX and Visions du Réel, among others, and has screened in partnership with museums such as the MOMA, BAMPFA and The Louvre. In 2018, Dosa was named to the inaugural class of DOCNYC's ""40 under 40"" and inducted into the Academy of Motion Picture's Documentary Branch. She is a graduate of Wesleyan University and holds joint master’s degrees in cultural anthropology and international development studies from the London School of Economics and Political Science. Dosa lives and works in California.Harrop is an Emmy-nominated documentary filmmaker who has dedicated her career to inspiring passion for science through film. She heads development and production for Sandbox Films, an Academy Award-nominated and Emmy Award-winning production company specializing in creative and boundary-breaking documentaries rooted in scientific ideas that inform society and culture. Harrop is a hands-on executive producer. Her credits include “Fire of Love” (nominated for an Oscar for Best Documentary Feature Film), “All Light, Everywhere” (Sundance 2021 special jury prize winner released by Neon and Hulu), “Fireball” (co-directed by Werner Herzog and released by Apple TV+) and “Fathom” (winner of the Emmy Award for Best Sound in a Documentary). Before Sandbox Films, Jessica produced content for a variety of outlets, including Netflix, Showtime, Discovery, National Geographic and PBS. Her credits include the Netflix documentary series “Follow This,” James Cameron’s Emmy Award-winning series “Years of Living Dangerously,” “Bill Nye Saves the World” and “First in Human.” She holds a degree in ecology and evolutionary biology and a certificate in theater from Princeton University, where she co-teaches an undergraduate film course on communicating climate change.PLEASE NOTE THE FOLLOWING REGISTRATION REQUIREMENTS & BUILDING ENTRY PROTOCOLREGISTRATION REQUIREMENTS & DETAILS:T﻿his event is 18+Registration will close at 2:00 PM the day of the event Please only register yourself and use your complete first and last name as it appears on your photo ID when filling in the formIf you have a guest you would like to bring with you to this event, please send them the link to register so they can sign up on their ownBy registering to attend this event, participants agree to follow the Simons Foundation Code of ConductBUILDING ENTRY PROTOCOL: Provide valid photo IDPresent your digital or printed Eventbrite ticket confirmation; make sure it is for the correct event and that the name on it matches your IDLimited seating is available for this in-person event and is on a first-come, first-served basisAll attendees must be pre-registered and walk-in entry will be deniedPlease note that by entering the Simons Foundation buildings, you are attesting that you are not experiencing COVID symptoms and are not knowingly positive for COVID.EVENT SCHEDULE:5:30 p.m. Doors open6:00 – 7:00 p.m. In Conversation 7:00  – 8:00 p.m.  ReceptionIf alcohol is served at this event, event organizers reserve the right to refuse to serve guests who are not of legal drinking age or who appear to be intoxicated.Inquiries: sfpresents@simonsfoundation.orgThe Gerald D. Fischbach Auditorium complies with the Americans with Disabilities Act and offers accessible seating to visitors with special access needs.","Simons Foundation Presents","https://www.eventbrite.com/o/simons-foundation-presents-17981315247"
"1681240265-180","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","NFT NYC - VIP Cocktail Hour Private Networking EveNFT NYC - VIP Cocktail Hour Private Networking Eve","https://www.eventbrite.com/e/nft-nyc-vip-cocktail-hour-private-networking-eve-tickets-482107876637?aff=ebdssbdestsearch","NFT NYC - VIP Cocktail Hour Private Networking Eve","Friday, April 14 · 6 - 9pm EDT","11 Bond St 11 Bond Street New York, NY 10005","About this event3 hoursMobile eTicketCreator Nations invite you to NFT.NYC VIP Cocktail hour at Showfield’s this April 14th at 6 PM ET during NFT NYC for an exclusive exhibit of art & photography from Gabriel Dean Roberts. Enjoy cocktails, make connections, and experience work from a groundbreaking artist.Location: SHOWFIELDS 11 Bond St, New York, NY 10012Limited to 150 attendees.ABOUT THE COMPANIES:SAVAGE:SAVAGE is a cutting-edge NFT marketplace & next-generation streaming app for 4K/8K video and photography. Official partners of Samsung and Polygon.Raine Magazine:Since 2007, Raine Magazine has been covering the future  of fashion, culture, and technology by showcasing rising stars along their journey, such as Kendall Jenner, Priyanka Chopra, Marc Cuban, and many more. It is a platform focused on educating, empowering, and inspiring creative entrepreneurs that are positively impacting their communities. Serial Marketers:Marketers need marketers, too. An inclusive community based in Slack, the 3,000+ Serial Marketers members share job opportunities, get recommendations for services and technologies, post event invites, showcase their latest projects, and support each other in countless ways. We’re always welcoming new members. Request to join today at serialmarketers.net.ABOUT THE PEOPLE:Luke Neumann - CEO/Co-Founder, SAVAGE:Luke is an independent filmmaker, director, and multimedia company owner. His desire to share his stories with the world led to him adopting YouTube as a means to share content very early in the platform’s existence. Luke built a community of over 140,000 subscribers and was the first to post 8K videos to the platform. “Ghost Towns in 8K” currently has over 8.6 million views, while the entire channel has garnered over 24 million!The concept of SAVAGE was born out of Luke’s love of film, his commitment to high-quality content, and above all, his connection with the creator community._____________________________________Nova Lorraine - CEO & Founder of Lorr:Nova Lorraine is a Jamaican-born business executive, Author, Speaker,Award-winning Fashion Designer. Named Top 100 Women of the Future, Nova is a Futurist, Strategist, Metaverse Designer and Web3 Advisor. She’s launched fashion companies as well as Raine Magazine, RaineDrops.io and is helping launch LORR, Inc., the Bespoke Metaverse. Nova has a Masters in Clinical Psychology from the University of Connecticut and is a graduate of the Fashion Institute of Technology, as well the NASA Tech Accelerator, combining science and fashion in forging the Future of Fashion, virtual design and sustainability. As a publisher, podcast host and producer, Nova has interviewed Priyanka Chopra, Mark Cuban, Kendall Jenner, Ben Carson, Beverly Johnson, Daymond John, Nikki Hilton and dozens more. A passionate storyteller, Nova’s book, UNLEASH YOUR SUPERNOVA helps entrepreneurs unlock their potential and creativity while finding personal balance. She is based in the greater NY area with her husband and four children. _____________________________________Ben Skaar - Artist:Ben Skaar is a 19-year-old artist based in New York City. Whether on a rooftop or a mountaintop, Ben always focuses on transporting viewers into the surreal worlds shown within his art. Schedule of  the Event:5:30 - 6:00 pm - Registration6:00 - 7:00 pm - Opening talks & fireside chat with Nir Kouris 7:00 - 8:00 pm - Networking - Snacks & Hosted Bar .8:00 - 9:00 pm - Party!!!","Nir Kouris","https://www.eventbrite.com/o/nir-kouris-31347365213"
"1681240268-181","https://www.eventbrite.com/d/ny--new-york/climate-technology/?page=4","5/13  Music Technology @Payne Tech5/13  Music Technology @Payne Tech","https://www.eventbrite.com/e/513-music-technology-payne-tech-tickets-598429918997?aff=ebdssbdestsearch","5/13  Music Technology @Payne Tech","Saturday, May 13 · 9am - 12:30pm EDT","Essex County Payne Tech 498 – 544 West Market Street Newark, NJ 07107","About this event3 hours 30 minutesMobile eTicketFor More Information visit us at: ECST STEAM Career Academy  or follow us at Eventbrite STEAM Career Academy Eventbrite Page","STEAM Career Academy","https://www.eventbrite.com/o/steam-career-academy-33235377429"
